fund_id,denominacao_social,classe_anbima_raw,nivel1,nivel2_acoes
11184381000122,FAPA ATIVO FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO RESPONSABILIDADE LIMITADA,Multimercados Livre,Multimercado,
11184409000121,F II - FIF - CLASSE DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO - RESP LIMITADA,Renda Fixa Duração Livre Crédito Livre,Renda Fixa,
11186674000149,FATOR ABSOLUTO FUNDO DE INVESTIMENTO FINANCEIRO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES,Ações Livre,Ações,Ativo
11188572000162,ATMOS MASTER FUNDO DE INVESTIMENTO FINANCEIRO DE AÇÕES,Ações Livre,Ações,Ativo
11192090000186,TAMISA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA,Multimercados Invest. no Exterior,Multimercado,
11195190000166,WE 696 FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA,Multimercados Invest. no Exterior,Multimercado,
11195193000108,WE 698 FUNDO DE INVESTIMENTO FINANCEIRO - MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA,Multimercados Invest. no Exterior,Multimercado,
11204522000121,BRADESCO H PGBLVGBL PLATINUM AGRESSIVO FI FINANCEIRO - CIC MULT - RESP LIMITADA,Previdência Balanceados de 30-49,Outros,
11204580000155,BRADESCO H PGBLVGBL PLATINUM MODERADO FI FINANCEIRO - CIC MULT - RESP LIMITADA,Previdência Multimercado Livre,Multimercado,
11206280000105,BRADESCO H PGBLVGBL PLATINUM FI FINANCEIRO - CIC RF - RESP LIMITADA,Previdência RF Duração Média Grau de Inv,Ações,Ativo
11209172000196,AF INVEST MINAS FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES,Ações Livre,Ações,Ativo
11212275000105,FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO HUNGRIA,Multimercados Estrat. Específica,Multimercado,
11225767000135,STUDIO INSTITUCIONAL FI FINANCEIRO - CIC EM AÇÕES - RESP LIMITADA,Ações Livre,Ações,Ativo
11225793000163,FÊNIX FUNDOS DE INVESTIMENTO MULTIMERCADO,Multimercados Invest. no Exterior,Multimercado,
11225860000140,CONSTELLATION MASTER FUNDO DE INVESTIMENTO FINANCEIRO DE AÇÕES,Ações Livre,Ações,Ativo
11228311000129,JGP LONG ONLY FI EM COTAS DE FUNDOS DE INVESTIMENTO FINANCEIRO EM AÇÕES RESP LTDA,Ações Livre,Ações,Ativo
11228382000121,JGP EQUITY FEEDER III FUNDO DE INVESTIMENTO EM COTAS DE FIF DE AÇÕES - RESPONSABILIDADE LIMITADA,Ações Livre,Ações,Ativo
11228490000102,JGP LONG ONLY MASTER FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES RESP LTDA,Ações Livre,Ações,Ativo
11232995000132,BRADESCO H IBOVESPA REGIMES DE PREVIDÊNCIA FI FINANCEIRO - CIC EM AÇÕES - RESP LIMITADA,Ações Índice Ativo,Ações,Índice
11233045000122,FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO LS,Multimercados Invest. no Exterior,Multimercado,
11233054000113,BRADESCO H PGBLVGBL PLATINUM ATIVO FI FINANCEIRO - CIC RF CRED PRIV - RESP LIMITADA,Previdência RF Duração Alta Grau de Inv.,Ações,Ativo
11233091000121,FLIP 2 FUNDO DE INVESTIMENTO MULTIMERCADO,Multimercados Invest. no Exterior,Multimercado,
11240166000100,BB ADMIRAL FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA CREDITO PRIVADO RESPONSABILIDADE LIMITADA,Renda Fixa Duração Livre Grau de Invest.,Renda Fixa,
11245687000141,VINCI REF DI FI FINANCEIRO - CI RF REFERENCIADA DI - RESP LIMITADA,Renda Fixa Duração Livre Grau de Invest.,Renda Fixa,
11248347000174,ATUARIAL ELETROPAULO FIF - CI MULTIMERCADO BSPS - CRÉDITO PRIVADO - RESP LIMITADA,Multimercados Livre,Multimercado,
11248452000103,NESTON FIF - CLASSE DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO LP - RESPONSABILIDADE LIMITADA,Renda Fixa Duração Livre Grau de Invest.,Renda Fixa,
11253569000185,FIF MULTIMERCADO HATHOR CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR - RESPONSABILIDADE LIMITADA,Multimercados Invest. no Exterior,Multimercado,
11267201000176,MARATAÍZES FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES,Ações Livre,Ações,Ativo
11274288000109,WPA I FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES,Ações Invest. no Exterior,Ações,Internacional
11275055000120,MALUBI FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO,Multimercados Invest. no Exterior,Multimercado,
11275059000109,LOREMA - FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA,Multimercados Invest. no Exterior,Multimercado,
